1,2,512,-64
1,2,576,-64
1,2,640,-64
1,2,704,-64
1,2,768,-64
1,2,960,-64
1,2,896,-64
1,2,832,-64
1,2,1024,-64
1,2,1088,-64
1,2,1152,-64
1,2,1216,-64
1,2,1280,-64
1,2,1344,-64
1,2,1408,-64
1,2,1472,-64
1,2,1536,-64
1,2,1600,-64
1,2,1664,-64
1,2,1728,-64
1,2,1792,-64
1,2,1920,-64
1,2,1984,-64
0,1,2240,448
0,1,2240,512
0,1,2240,576
0,1,2240,640
0,1,2240,704
0,1,2240,832
0,1,2240,896
0,1,2240,960
0,1,2240,1024
0,1,2240,1088
0,1,2240,1152
0,1,2240,1280
0,1,2240,1408
0,1,2240,1472
0,1,2240,1536
0,1,2240,1600
0,1,2240,1664
0,1,2240,1728
0,1,2240,1792
0,1,2240,1856
0,1,2240,1920
0,1,2240,1984
1,0,2176,2112
1,0,2112,2112
1,0,1984,2112
1,0,1856,2112
1,0,1792,2112
1,0,1728,2112
1,0,1664,2112
1,0,1600,2112
1,0,1536,2112
1,0,1472,2112
1,0,1408,2112
1,0,1344,2112
1,0,1280,2112
1,0,1216,2112
1,0,1152,2112
1,0,1088,2112
1,0,1024,2112
1,0,960,2112
1,0,896,2112
1,0,768,2112
1,0,704,2112
1,0,640,2112
1,0,576,2112
1,0,512,2112
1,0,448,2112
1,0,384,2112
1,0,320,2112
1,0,256,2112
1,0,192,2112
1,0,64,2112
2,1,-64,1984
2,1,-64,1920
2,1,-64,1856
2,1,-64,1792
2,1,-64,1728
2,1,-64,1664
2,1,-64,1600
2,1,-64,1536
2,1,-64,1472
2,1,-64,1408
2,1,-64,1344
2,1,-64,1280
2,1,-64,1216
2,1,-64,1152
2,1,-64,1088
2,1,-64,1024
2,1,-64,960
2,1,-64,896
2,1,-64,768
2,1,-64,704
2,1,-64,640
2,1,-64,576
2,1,-64,512
2,1,-64,384
2,1,-64,320
2,1,-64,192
2,1,-64,128
2,1,-64,64
2,1,-64,0
1,2,0,-64
1,2,64,-64
1,2,192,-64
1,2,256,-64
1,2,320,-64
1,2,384,-64
10,4,1536,448
11,4,1600,448
11,3,1600,384
10,3,1536,384
11,5,1600,512
10,5,1536,512
18,6,1280,1088
18,6,1472,1216
18,6,1472,1280
18,6,1280,1408
18,6,1728,1408
18,6,1216,512
18,6,448,640
14,6,320,1024
14,6,448,1472
14,6,640,1664
14,6,320,1984
14,6,832,1856
19,6,1088,960
19,6,768,640
23,6,576,832
23,6,704,768
23,6,960,192
23,6,1152,64
6,2,832,256
6,2,832,192
6,2,832,128
6,2,832,64
6,2,704,192
6,2,448,0
1,9,960,1280
0,9,896,1280
2,9,1024,1280
1,8,960,1216
0,8,896,1216
2,8,1024,1216
8,3,832,1280
8,2,832,1216
9,3,1088,1280
9,2,1088,1216
5,2,1088,1152
7,2,832,1152
1,1,896,1152
1,1,960,1152
1,1,1024,1152
9,0,1088,1088
8,0,832,1088
6,3,896,1088
6,3,960,1088
6,3,1024,1088
2,1,-64,256
2,1,-64,448
0,3,-64,-64
1,2,128,-64
1,2,448,-64
1,2,1856,-64
0,1,2048,192
0,1,2048,128
0,1,2048,64
0,1,2048,0
1,3,2048,-64
6,2,2176,0
6,2,2112,0
6,2,2048,-128
6,2,2112,-64
6,2,2176,-64
6,2,2240,-64
6,2,2240,0
6,2,2240,128
6,2,2240,64
6,2,2240,192
6,2,2240,256
6,2,2240,384
6,2,2240,320
0,1,2048,256
0,1,2048,320
0,1,2048,384
0,1,2048,448
0,1,2048,512
0,1,2048,576
0,1,2048,640
0,1,2048,704
0,1,2048,768
0,1,2048,832
0,1,2048,896
0,1,2048,960
0,1,2048,1024
0,1,2048,1088
0,1,2048,1152
0,1,2048,1216
0,1,2048,1280
0,1,2048,1344
0,1,2048,1408
0,1,2048,1472
0,1,2048,1536
0,1,2048,1600
0,1,2048,1728
0,1,2048,1792
0,1,2048,1664
0,1,2048,1856
0,1,2048,1920
0,1,2048,1984
0,1,2048,2048
1,4,2048,2112
1,0,1920,2112
1,0,832,2112
1,0,128,2112
1,0,0,2112
0,4,-64,2112
2,1,-64,2048
2,1,-64,832
// end
